v8-version,6,2,414,50,0
code-creation,Builtin,5,7157,0x25b7a41209e0,266,"FastCloneRegExp"
code-creation,Stub,3,7520,0x25b7a4120b60,2024,"RecordWriteStub"
code-creation,Builtin,5,7526,0x25b7a41213c0,1072,"FastCloneShallowArrayTrack"
tick,0x563ca418f9f2,7642,0,0x0,4
code-creation,Stub,3,7895,0x25b7a4121860,2066,"RecordWriteStub"
code-creation,Builtin,5,7901,0x25b7a41220e0,948,"FastCloneShallowArrayDontTrack"
code-creation,Stub,3,8087,0x25b7a4122500,2024,"RecordWriteStub"
code-creation,Stub,3,8105,0x25b7a4122d60,2062,"RecordWriteStub"
code-creation,Builtin,5,8109,0x25b7a41235e0,614,"CreateEmptyArrayLiteral"
code-creation,Builtin,5,8333,0x25b7a41238c0,590,"CreateEmptyObjectLiteral"
tick,0x563ca3d0070d,8704,0,0x0,4
code-creation,Stub,3,8928,0x25b7a4123b80,2045,"RecordWriteStub"
code-creation,Stub,3,8940,0x25b7a41243e0,850,"RecordWriteStub"
code-creation,Builtin,5,8957,0x25b7a41247a0,1456,"FastCloneShallowObject"
code-creation,Builtin,5,9197,0x25b7a4124dc0,648,"ConstructProxy"
code-creation,Builtin,5,9204,0x25b7a41250c0,119,"JSEntryTrampoline"
code-creation,Builtin,5,9207,0x25b7a41251a0,119,"JSConstructEntryTrampoline"
code-creation,Stub,3,9219,0x25b7a4125280,72,"StoreBufferOverflowStub"
code-creation,Stub,3,9230,0x25b7a4125340,1225,"RecordWriteStub"
code-creation,Builtin,5,9236,0x25b7a4125880,231,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,9242,0x25b7a41259e0,14,"InterruptCheck"
code-creation,Builtin,5,9244,0x25b7a4125a60,14,"StackCheck"
code-creation,Builtin,5,9529,0x25b7a4125ae0,807,"StringCharAt"
code-creation,Builtin,5,9710,0x25b7a4125e80,399,"StringCharCodeAt"
tick,0x563ca3cfd5f0,9768,0,0x0,4
code-creation,Builtin,5,9919,0x25b7a4126080,352,"StringEqual"
code-creation,Builtin,5,10076,0x25b7a4126240,348,"StringGreaterThan"
code-creation,Builtin,5,10226,0x25b7a4126400,348,"StringGreaterThanOrEqual"
code-creation,Builtin,5,10719,0x25b7a41265c0,1192,"StringIndexOf"
tick,0x563ca3c6b05e,10830,0,0x0,4
code-creation,Builtin,5,10926,0x25b7a4126ae0,348,"StringLessThan"
code-creation,Builtin,5,11092,0x25b7a4126ca0,348,"StringLessThanOrEqual"
code-creation,Builtin,5,11157,0x25b7a4126e60,92,"OrderedHashTableHealIndex"
code-creation,Stub,3,11174,0x25b7a4126f20,440,"RecordWriteStub"
code-creation,Stub,3,11187,0x25b7a4127140,1192,"RecordWriteStub"
code-creation,Stub,3,11197,0x25b7a4127660,1220,"RecordWriteStub"
code-creation,Builtin,5,11204,0x25b7a4127ba0,706,"InterpreterEntryTrampoline"
code-creation,Builtin,5,11208,0x25b7a4127ee0,86,"InterpreterPushArgsThenCall"
code-creation,Builtin,5,11211,0x25b7a4127fa0,94,"InterpreterPushUndefinedAndArgsThenCall"
code-creation,Builtin,5,11216,0x25b7a4128060,86,"InterpreterPushArgsThenCallFunction"
code-creation,Builtin,5,11219,0x25b7a4128120,94,"InterpreterPushUndefinedAndArgsThenCallFunction"
code-creation,Builtin,5,11223,0x25b7a41281e0,91,"InterpreterPushArgsThenCallWithFinalSpread"
code-creation,Builtin,5,11226,0x25b7a41282a0,81,"InterpreterPushArgsThenConstruct"
code-creation,Builtin,5,11229,0x25b7a4128360,90,"InterpreterPushArgsThenConstructFunction"
code-creation,Builtin,5,11254,0x25b7a4128420,86,"InterpreterPushArgsThenConstructWithFinalSpread"
code-creation,Builtin,5,11272,0x25b7a41284e0,134,"InterpreterEnterBytecodeAdvance"
code-creation,Builtin,5,11277,0x25b7a41285e0,51,"InterpreterEnterBytecodeDispatch"
code-creation,Builtin,5,11284,0x25b7a4128680,73,"InterpreterOnStackReplacement"
code-creation,Builtin,5,11297,0x25b7a4128740,603,"CompileLazy"
code-creation,Builtin,5,11307,0x25b7a4128a00,465,"CheckOptimizationMarker"
code-creation,Builtin,5,11312,0x25b7a4128c40,160,"InstantiateAsmJs"
code-creation,Builtin,5,11315,0x25b7a4128d40,85,"NotifyDeoptimized"
code-creation,Builtin,5,11318,0x25b7a4128e00,90,"NotifySoftDeoptimized"
code-creation,Builtin,5,11321,0x25b7a4128ec0,90,"NotifyLazyDeoptimized"
code-creation,Builtin,5,11324,0x25b7a4128f80,42,"NotifyBuiltinContinuation"
code-creation,Builtin,5,11329,0x25b7a4129020,37,"ContinueToCodeStubBuiltin"
code-creation,Builtin,5,11332,0x25b7a41290c0,45,"ContinueToCodeStubBuiltinWithResult"
code-creation,Builtin,5,11334,0x25b7a4129160,41,"ContinueToJavaScriptBuiltin"
code-creation,Builtin,5,11349,0x25b7a4129200,49,"ContinueToJavaScriptBuiltinWithResult"
code-creation,Builtin,5,11352,0x25b7a41292a0,68,"OnStackReplacement"
code-creation,Builtin,5,11354,0x25b7a4129360,12,"HandleApiCall"
code-creation,Builtin,5,11357,0x25b7a41293e0,12,"HandleApiCallAsFunction"
code-creation,Builtin,5,11359,0x25b7a4129460,12,"HandleApiCallAsConstructor"
code-creation,Builtin,5,11361,0x25b7a41294e0,26,"AllocateInNewSpace"
code-creation,Builtin,5,11364,0x25b7a4129560,33,"AllocateInOldSpace"
code-creation,Stub,3,11592,0x25b7a4129600,2024,"RecordWriteStub"
code-creation,Stub,3,11610,0x25b7a4129e60,2015,"RecordWriteStub"
code-creation,Stub,3,11623,0x25b7a412a6a0,2062,"RecordWriteStub"
code-creation,Builtin,5,11629,0x25b7a412af20,687,"CopyFastSmiOrObjectElements"
code-creation,Builtin,5,11810,0x25b7a412b240,516,"GrowFastDoubleElements"
tick,0x563ca3c55d67,11891,0,0x0,4
code-creation,Builtin,5,12018,0x25b7a412b4c0,468,"GrowFastSmiOrObjectElements"
code-creation,Builtin,5,12136,0x25b7a412b700,311,"NewUnmappedArgumentsElements"
code-creation,Builtin,5,12142,0x25b7a412b8a0,113,"FrameDropperTrampoline"
code-creation,Builtin,5,12145,0x25b7a412b980,53,"HandleDebuggerStatement"
code-creation,Stub,3,12278,0x25b7a412ba20,2020,"RecordWriteStub"
code-creation,Builtin,5,12284,0x25b7a412c280,375,"ToObject"
code-creation,Builtin,5,12339,0x25b7a412c460,104,"ToBoolean"
code-creation,Builtin,5,12442,0x25b7a412c540,288,"OrdinaryToPrimitive_Number"
code-creation,Builtin,5,12540,0x25b7a412c6c0,288,"OrdinaryToPrimitive_String"
code-creation,Builtin,5,12611,0x25b7a412c840,210,"NonPrimitiveToPrimitive_Default"
code-creation,Builtin,5,12679,0x25b7a412c980,210,"NonPrimitiveToPrimitive_Number"
code-creation,Builtin,5,12744,0x25b7a412cac0,210,"NonPrimitiveToPrimitive_String"
code-creation,Builtin,5,12796,0x25b7a412cc00,91,"StringToNumber"
tick,0x563ca3c0d60d,12933,0,0x0,4
code-creation,Stub,3,12942,0x25b7a412ccc0,271,"NumberToStringStub"
code-creation,Builtin,5,13017,0x25b7a412ce40,119,"ToName"
code-creation,Builtin,5,13126,0x25b7a412cf20,281,"NonNumberToNumber"
code-creation,Builtin,5,13236,0x25b7a412d0a0,289,"ToNumber"
code-creation,Builtin,5,13364,0x25b7a412d240,359,"ToString"
code-creation,Builtin,5,13485,0x25b7a412d420,302,"ToInteger"
code-creation,Builtin,5,13613,0x25b7a412d5c0,354,"ToLength"
code-creation,Builtin,5,13688,0x25b7a412d7a0,164,"ClassOf"
code-creation,Builtin,5,13747,0x25b7a412d8c0,164,"Typeof"
code-creation,Builtin,5,13794,0x25b7a412d9e0,83,"GetSuperConstructor"
code-creation,Builtin,5,13844,0x25b7a412daa0,112,"ToBooleanLazyDeoptContinuation"
code-creation,Stub,3,13920,0x25b7a412db80,331,"CallApiGetterStub"
tick,0x563ca3cfee26,14025,0,0x0,4
code-creation,Builtin,5,14752,0x25b7a412dd40,2011,"LoadICProtoArray"
tick,0x563ca3c508bd,15087,0,0x0,4
code-creation,Builtin,5,15640,0x25b7a412e580,2027,"LoadICProtoArrayThrowIfNonexistent"
tick,0x563ca3ce9463,16121,0,0x0,4
tick,0x563ca3c480d3,17220,0,0x0,4
tick,0x563ca3d03e0d,18280,0,0x0,4
code-creation,Builtin,5,19227,0x25b7a412ede0,7101,"KeyedLoadIC_Megamorphic"
tick,0x7f41e45be567,19315,0,0x0,4
code-creation,Builtin,5,19376,0x25b7a4130a00,44,"KeyedLoadIC_Miss"
code-creation,Builtin,4,19411,0x25b7a4130aa0,40,"KeyedLoadIC_Slow"
code-creation,Builtin,4,19788,0x25b7a4130b40,919,"KeyedLoadIC_IndexedString"
tick,0x7f41e48d9bf0,20377,0,0x0,4
tick,0x7f41e453fbd0,21434,0,0x0,4
tick,0x563ca3c4dbb6,22505,0,0x0,4
tick,0x563ca3d0627c,23569,0,0x0,4
tick,0x563ca3d0001d,24627,0,0x0,4
tick,0x563ca3d00a5a,25698,0,0x0,4
tick,0x563ca3d00bb5,26764,0,0x0,4
tick,0x563ca3d0b1cf,27829,0,0x0,4
tick,0x563ca3d0a7ac,28919,0,0x0,4
tick,0x563ca3c3cd08,29974,0,0x0,4
code-creation,Stub,3,30738,0x25b7a4130f40,2020,"RecordWriteStub"
code-creation,Stub,3,30762,0x25b7a41317a0,2078,"RecordWriteStub"
code-creation,Stub,3,30776,0x25b7a4132020,852,"RecordWriteStub"
code-creation,Stub,3,30793,0x25b7a41323e0,2077,"RecordWriteStub"
code-creation,Stub,3,30811,0x25b7a4132c60,2050,"RecordWriteStub"
code-creation,Stub,3,30829,0x25b7a41334e0,2066,"RecordWriteStub"
code-creation,Stub,3,30846,0x25b7a4133d60,852,"RecordWriteStub"
code-creation,Stub,3,30861,0x25b7a4134120,2024,"RecordWriteStub"
code-creation,Stub,3,30878,0x25b7a4134980,2008,"RecordWriteStub"
code-creation,Stub,3,30887,0x25b7a41351c0,844,"RecordWriteStub"
code-creation,Stub,3,30896,0x25b7a4135580,852,"RecordWriteStub"
code-creation,Stub,3,30913,0x25b7a4135940,2061,"RecordWriteStub"
code-creation,Stub,3,30927,0x25b7a41361c0,850,"RecordWriteStub"
code-creation,Stub,3,30941,0x25b7a4136580,2024,"RecordWriteStub"
code-creation,Builtin,5,31131,0x25b7a4136de0,24668,"KeyedStoreIC_Megamorphic"
tick,0x7f41e45ba2f7,31139,0,0x0,4
tick,0x7f41e453c210,32165,0,0x0,4
tick,0x563ca3c182f3,33972,0,0x0,4
tick,0x563ca3b0a7fc,34398,0,0x0,4
tick,0x563ca3c5583d,35432,0,0x0,4
tick,0x563ca3d133f3,36504,0,0x0,4
tick,0x563ca3d06eeb,37564,0,0x0,4
tick,0x563ca3d03012,38620,0,0x0,4
tick,0x563ca3d00ab8,39682,0,0x0,4
tick,0x563ca3d0b257,40749,0,0x0,4
tick,0x563ca3d08fbb,41817,0,0x0,4
tick,0x563ca3cdb9d0,42885,0,0x0,4
code-creation,Builtin,5,44004,0x25b7a413cea0,25024,"KeyedStoreIC_Megamorphic_Strict"
tick,0x7f41e45ba2f7,44016,0,0x0,4
code-creation,Builtin,5,44231,0x25b7a41430c0,44,"KeyedStoreIC_Miss"
code-creation,Builtin,4,44277,0x25b7a4143160,44,"KeyedStoreIC_Slow"
code-creation,Builtin,5,44316,0x25b7a4143200,40,"LoadGlobalIC_Miss"
code-creation,Builtin,4,44352,0x25b7a41432a0,40,"LoadGlobalIC_Slow"
code-creation,Builtin,5,44510,0x25b7a4143340,231,"LoadField"
code-creation,Builtin,4,44627,0x25b7a41434a0,100,"LoadIC_FunctionPrototype"
code-creation,Builtin,5,44634,0x25b7a4143580,24,"LoadIC_Getter_ForDeopt"
